id,country_code,name,capital,official_code,source_code,status,verification_status,source_url,retrieved_at,notes
gh-region-ahafo,GH,Ahafo,Goaso,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-ashanti,GH,Ashanti,Kumasi,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-bono,GH,Bono,Sunyani,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-bono-east,GH,Bono East,Techiman,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-central,GH,Central,Cape Coast,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-eastern,GH,Eastern,Koforidua,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-greater-accra,GH,Greater Accra,Accra,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-north-east,GH,North East,Nalerigu,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-northern,GH,Northern,Tamale,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-oti,GH,Oti,Dambai,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-savannah,GH,Savannah,Damongo,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-upper-east,GH,Upper East,Bolgatanga,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-upper-west,GH,Upper West,Wa,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-volta,GH,Volta,Ho,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-western,GH,Western,Sekondi-Takoradi,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
gh-region-western-north,GH,Western North,Sefwi Wiawso,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Region names/capitals government-reference seed; official GNHR/GSS code intentionally blank pending canonical reconciliation.
