id,region_id,region_name,name,classification_hint,official_code,capital,status,verification_status,source_url,retrieved_at,notes
gh-district-ahafo-asunafo-north,gh-region-ahafo,Ahafo,Asunafo North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ahafo-asunafo-south,gh-region-ahafo,Ahafo,Asunafo South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ahafo-asutifi-north,gh-region-ahafo,Ahafo,Asutifi North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ahafo-asutifi-south,gh-region-ahafo,Ahafo,Asutifi South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ahafo-tano-north,gh-region-ahafo,Ahafo,Tano North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ahafo-tano-south,gh-region-ahafo,Ahafo,Tano South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-adansi-asokwa,gh-region-ashanti,Ashanti,Adansi Asokwa,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-adansi-north,gh-region-ashanti,Ashanti,Adansi North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-adansi-south,gh-region-ashanti,Ashanti,Adansi South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-afigya-kwabre-north,gh-region-ashanti,Ashanti,Afigya Kwabre North,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-afigya-kwabre-south,gh-region-ashanti,Ashanti,Afigya Kwabre South,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-ahafo-ano-north-municipal,gh-region-ashanti,Ashanti,Ahafo Ano North Municipal,MUNICIPAL,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-ahafo-ano-south-east,gh-region-ashanti,Ashanti,Ahafo Ano South East,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
gh-district-ashanti-ahafo-ano-south-west,gh-region-ashanti,Ashanti,Ahafo Ano South West,UNSPECIFIED,,,ACTIVE,SEED_NEEDS_CANONICAL_RECONCILIATION,https://gist.github.com/allanphilipbarku/5de433868407afe6c6a2d35aa5392a2a,2026-08-28,Reference seed; verify official spelling/category/capital/code against GNHR/GSS before canonical publication.
